date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en
1/1/2021,509.3245649,822.125489,442.0099973,674.7318449,223.0531215,1064.066943,osmeña
1/1/2021,648.5196752,245.8464535,0,1304.634644,0,3396.116578,sambag
1/1/2021,791.1894825,806.4172947,110.8984232,1185.498696,751.0684966,610.6349346,rizal estanzuela
1/1/2021,2281.409121,179.9184536,0,594.0782579,1105.536719,2507.19355,calahunan
1/1/2021,858.0393802,0,0,1789.686229,475.388782,910.1342111,sinikway (bangkerohan lapuz)
1/1/2021,564.2509633,431.3190282,0,1257.104335,745.1776895,448.9756265,jalandoni-wilson
1/1/2021,1020.565582,1698.638753,44.47583179,694.3909313,386.5465081,1331.150919,el 98 castilla (claudio lopez)
1/1/2021,799.556606,1550.460538,0,466.7559131,166.1526963,1458.027945,taytay zone ii
1/1/2021,3529.584058,448.1279164,0,3148.252555,414.8410364,3655.479726,santo niño norte
1/1/2021,1036.838941,0,33.70269295,8.511201743,302.724926,2625.354587,pale benedicto rizal (mandurriao)
1/1/2021,1207.871715,1257.837929,155.2802467,791.4707677,633.5859715,2112.069996,concepcion-montes
1/1/2021,790.8915239,1147.034361,4.161937063,0,297.7472095,1729.758556,ortiz
1/1/2021,286.0332026,97.37016218,0,1404.203669,1210.441942,0,san felix
1/1/2021,104.5232174,508.0944269,172.6574283,1978.198828,1501.684928,192.1256244,jereos
1/1/2021,0,0,0,1984.616856,1064.859787,3.639567062,burgos-mabini-plaza
1/1/2021,1076.224541,924.2856371,0,1961.539241,1533.200322,1005.571641,ticud (la paz)
1/1/2021,248.2483335,86.09767983,0,1286.317516,687.1488444,97.53964538,nabitasan
1/1/2021,653.349961,720.7755977,47.72033947,1194.651932,739.4970471,520.706453,kahirupan
1/1/2021,365.3753263,63.16179658,0,356.6918728,1319.228777,247.2558087,san pedro (molo)
1/1/2021,4088.783383,12.63346547,54.77499168,3268.111026,0,4150.446755,santa filomena
1/1/2021,549.1258212,294.7002162,48.78439762,2475.374129,1280.190321,299.2554343,lopez jaena norte
1/1/2021,3597.234672,117.1942209,0,3069.302237,145.2475238,3705.350135,yulo drive
1/1/2021,706.3656049,957.0760172,439.1497031,747.2267545,374.083209,971.1558173,rizal palapala ii
1/1/2021,818.8167761,527.6306811,0,108.2944194,0,1926.480777,abeto mirasol taft south (quirino abeto)
1/1/2021,702.1678449,1337.760308,170.7965354,369.4409744,0,1389.75979,buhang taft north
1/1/2021,213.8549122,562.0639824,320.952163,1523.549994,1420.843999,40.01594009,infante
1/1/2021,1352.464642,90.20466241,0,180.1061853,829.0315267,1308.695757,navais
1/1/2021,1000.418342,947.2731515,0,1752.08443,671.8588923,3062.321951,tacas
1/1/2021,425.6162839,195.1859591,108.0515443,1669.759642,1119.793816,64.98693714,mabolo-delgado
1/1/2021,939.5232871,3310.99057,0,501.9707401,449.6827484,4062.315759,balantang
1/1/2021,833.7421342,0,0,342.1292965,1232.974966,806.0447288,tap-oc
1/1/2021,236.5386611,929.6153462,40.72136055,1810.942786,1324.655141,219.4617071,san pedro (jaro)
1/1/2021,2048.700161,942.4734008,59.27148215,1566.525507,21.51435303,2186.418448,south fundidor
1/1/2021,1454.19791,1591.671244,78.57772942,682.3476641,940.1287259,2371.851073,veterans village
1/1/2021,4650.573312,346.5224264,33.63243044,3867.631344,405.2261458,4722.407633,bonifacio (arevalo)
1/1/2021,344.1732613,500.5667089,159.135913,1618.075541,1207.308517,30.80753124,timawa tanza ii
1/1/2021,534.643429,1248.289344,0,1005.80704,1445.945035,600.0335717,cubay
1/1/2021,108.6407452,770.2339172,88.65815404,1769.512543,1150.630507,240.4892114,san jose (jaro)
1/1/2021,822.1215505,1471.282746,65.30825751,956.7160799,687.2723148,951.8877738,luna (jaro)
1/1/2021,826.1955648,169.4529722,82.30025151,630.9910025,1007.849146,891.4366306,katilingban
1/1/2021,936.3771165,3008.685952,67.20608047,761.9518018,1072.561561,4272.697579,camalig
1/1/2021,1273.412539,128.0063659,212.3590973,0,574.3779414,2808.323589,guzman-jesena
1/1/2021,492.422668,0,0,1425.925369,853.319494,337.91643,villa anita
1/1/2021,348.3856672,876.4396402,159.1606176,700.2902951,658.2401911,1998.197718,san roque
1/1/2021,1022.07332,1644.537032,94.94665565,692.9471171,130.1910897,1323.011926,desamparados
1/1/2021,4270.730061,0,0,3768.676462,159.3043402,4386.037707,santo niño sur
1/1/2021,328.5210023,369.9185419,224.9324407,1128.070482,585.9023249,648.5290961,hipodromo
1/1/2021,706.0509074,774.2805165,92.34357849,1393.728901,964.7663876,457.6487402,bonifacio tanza
1/1/2021,431.7948321,776.2699259,0,1129.893318,1509.540778,525.8064689,tabuc suba (la paz)
1/1/2021,1004.804131,986.5373083,0,1452.769246,795.6511619,1170.288371,san juan
1/1/2021,585.1159964,15.34368786,28.49299621,1643.744598,342.3849728,910.5572727,alalasan lapuz
1/1/2021,196.1002086,390.726699,0,1045.561443,365.5164911,499.851396,bolilao
1/1/2021,1191.763806,492.5523441,205.1428499,1542.728753,439.9464809,1208.170454,loboc-lapuz
1/1/2021,2489.769188,0,240.7187831,1422.932785,487.0503671,2486.115599,so-oc
1/1/2021,544.1199177,1257.993888,190.8953745,1354.125648,1049.280498,547.8874277,marcelo h. del pilar
1/1/2021,572.963448,208.9985085,0,1241.789497,15.07104081,1099.099458,jalandoni estate-lapuz
1/1/2021,0,262.3308001,0,1880.700401,1088.925675,40.57707672,san nicolas
1/1/2021,177.2228722,798.1330164,108.1084208,511.9071147,451.1623119,2070.156241,lopez jaena (jaro)
1/1/2021,670.1250238,1179.128153,232.6131102,862.0946183,892.8095754,1736.66238,simon ledesma
1/1/2021,490.7964024,674.5047374,223.7116138,1052.619784,565.9188844,714.3074257,gloria
1/1/2021,1541.851732,1264.491636,0,1417.220767,802.0933478,2328.391115,obrero-lapuz
1/1/2021,1484.368631,728.6285985,0,978.5443096,0,1571.786375,north fundidor
1/1/2021,116.1630176,33.72599772,5.043604959,2167.942141,942.9333157,162.1950887,railway
1/1/2021,758.8491565,1436.442677,19.64116128,515.9099255,538.0863304,1455.408325,"libertad, santa isabel"
1/1/2021,252.3702554,782.2448101,28.55899797,1298.937376,592.8689284,498.8809173,our lady of lourdes
1/1/2021,1106.23261,1456.962614,3.784707122,370.0121006,668.4168114,2105.407242,santo rosario-duran
1/1/2021,5223.833341,342.5954503,23.42111674,4378.310136,0,5285.441107,santa cruz
1/1/2021,1427.645619,1691.466491,449.9865173,1819.156195,2267.744089,1535.329026,san isidro (la paz)
1/1/2021,499.6936996,363.7211178,196.9624947,1324.163206,776.6998103,457.7902327,delgado-jalandoni-bagumbayan
1/1/2021,1029.469293,95.54642683,96.29381348,342.3589795,910.431764,1049.311954,north san jose
1/1/2021,484.9885595,133.2080128,190.2518045,637.0196028,559.860398,2911.529425,dungon
1/1/2021,20.44002938,644.9803992,25.66478098,1027.111984,1521.006901,76.53352901,west timawa
1/1/2021,449.318491,796.0776927,77.81731563,404.8717068,290.1774037,1466.549341,arsenal aduana
1/1/2021,1679.237814,0,0,0,340.2307745,2319.240489,oñate de leon
1/1/2021,531.7436735,774.0983429,161.4764696,1220.803785,842.8346297,368.745705,baybay tanza
1/1/2021,356.8555528,1324.598619,0,784.6406962,1723.910951,2171.34886,quintin salas
1/1/2021,350.9920964,615.9273453,396.7273078,908.2130272,400.9374067,854.8116663,san jose (city proper)
1/1/2021,0,590.5693595,0,63.93856894,0,2102.550701,dungon a
1/1/2021,2851.19418,630.9254337,0,2576.452849,0,2983.411431,calaparan
1/1/2021,1559.757103,3118.493216,0,1811.187027,898.5153372,4948.387299,lanit
1/1/2021,950.5137464,490.3191139,219.32316,1183.495347,249.745583,1562.681178,lapuz norte
1/1/2021,1309.483124,441.928912,110.9141906,506.0500446,509.6647627,1357.412294,south san jose
1/1/2021,457.2347181,354.4589075,148.9152676,791.2780355,1253.251369,557.9287618,poblacion molo
1/1/2021,1532.592005,4094.226178,0,0,902.5998653,4028.368148,bito-on
1/1/2021,368.0438392,1062.219091,15.71835777,275.2905398,415.8337378,1624.851253,fajardo
1/1/2021,207.2543202,877.7083159,59.47029103,1706.702647,1097.93895,223.8162186,javellana
1/1/2021,573.6824926,444.151762,158.8684357,344.8621814,260.3223763,2417.745407,phhc block 22 nha
1/1/2021,678.6494716,575.7373003,326.2170191,1034.05437,992.0940052,853.7714794,habog-habog salvacion
1/1/2021,53.36796234,258.3000706,0,1979.39876,1217.085574,0,magdalo
1/1/2021,708.1824759,1065.429711,0,186.6692017,161.1134982,1468.564479,maria clara
1/1/2021,758.3317855,1393.61569,265.0360448,719.2563842,819.7733737,1469.813631,democracia
1/1/2021,1760.804243,799.9072315,0,887.4570438,1060.483461,3883.077566,hibao-an sur
1/1/2021,254.0690662,604.8903484,162.8078191,632.2117183,52.68879522,1171.070345,kauswagan
1/1/2021,546.7736224,822.2140555,241.2820503,847.0294892,401.4883373,770.4641664,flores
