adm4_pcode,NDVI Risk,Amenity Risk (Relative),RWI Risk,Coastal Distance Risk,Population Risk,Climate Vulnerability Index,Risk Label,Barangay Name
ph063022132,0.3061141786130346,0.1530349438614572,0.8608291204791698,0.9131934924764994,0.1910698074051373,0.3753099755919472,Medium Risk,Progreso-Lapuz
ph063022062,0.4051973051010534,0.2449147951155723,0.8422347442954847,0.9694083069916656,0.047124246731497,0.3748078606165315,Medium Risk,Gloria
ph063022109,0.1875284939972627,0.4712330691305028,0.714323968268775,0.8186030386321074,0.0607377879160619,0.3741042058588103,Medium Risk,Mohon
ph063022031,0.0,0.3478073638607479,0.5092984843339274,1.0,0.3804309956534624,0.3728316233835761,Medium Risk,Calaparan
ph063022044,0.2075122840788146,0.4950605454129713,0.6305072251152989,0.4244971753537195,0.1747727039692012,0.3716311965631073,Medium Risk,Democracia
ph063022064,0.8265032166556875,0.0955798121587647,0.5795253969208471,0.363773656588724,0.3098780443611326,0.3698954335782669,Medium Risk,Guzman-Jesena
ph063022197,0.4051973051010534,0.1389410017139228,0.8600974634956909,0.9819596822095644,0.1092509392176542,0.3693454170743588,Medium Risk,Kahirupan
ph063022158,0.41050985259105,0.1725241685915378,0.7589294823229914,0.8034723859337799,0.1931688522458357,0.369205718246573,Medium Risk,San Pedro (Molo)
ph063022115,0.413789828276173,0.2706974937084425,0.3931824072549666,0.7016776285471906,0.3870595287651288,0.3679042526320674,Medium Risk,Navais
ph063022198,0.2075122840788146,0.3404725329282583,0.8565365278167758,0.750565162278023,0.0567989915784239,0.3673266463394459,Medium Risk,Luna (La Paz)
ph063022186,0.4051973051010534,0.1421889261183261,0.9273418325539978,0.9160982840926276,0.0577977328208329,0.3664979461287745,Medium Risk,Timawa Tanza II
ph063022052,0.202092092599158,0.0907877701056884,0.7384118961610251,0.9251380978022516,0.3490794785807197,0.3661333190451868,Medium Risk,East Baluarte
ph063022144,0.8265032166556875,0.2676501924911041,0.4257327475777538,0.254887110037305,0.2554607559222207,0.3649128272279175,Medium Risk,Sambag
ph063022195,0.4051973051010534,0.1548982920932541,0.6565375921677247,0.971310575286052,0.2247652269700379,0.3645732966553313,Medium Risk,Zamora-Melliza
ph063022146,0.3061141786130346,0.2999729305038933,0.808319640726754,0.8781628382813746,0.0368238372596682,0.364220424218722,Medium Risk,Sampaguita
ph063022077,0.2075122840788146,0.258156680111349,0.6442199223830727,0.6150566168935501,0.3148390414664926,0.3638485676693986,Medium Risk,Jereos
ph063022114,0.2075122840788146,0.0759621463559805,0.7744150391233009,0.815607726053985,0.3478913100607053,0.3635769376062234,Medium Risk,Nabitasan
ph063022089,0.3061141786130346,0.1988857755463425,0.8541463292074666,0.8643302958379162,0.1003396387097042,0.362888529667153,Medium Risk,Legaspi dela Rama
ph063022049,0.8265032166556875,0.2672568279639548,0.4255797021430391,0.2890069362952183,0.2353620745424799,0.362497452544228,Medium Risk,Dungon
ph063022048,0.0,0.2951007921766886,0.4701604414616471,0.9553984610264388,0.4175762650177608,0.3616185795401038,Medium Risk,Dulonan
ph063022118,0.4051973051010534,0.1015794678275294,0.7501127591170684,1.0,0.1842999680239653,0.3612872262910708,Medium Risk,North Baluarte
ph063022093,0.2075122840788146,0.6268600367320092,0.6099175924178876,0.3567207735473664,0.01966627260257,0.3604925435586592,Medium Risk,Lopez Jaena (Jaro)
ph063022063,0.2075122840788146,0.1551003549419907,0.7974128553653962,0.6697052933820576,0.2687513549286796,0.3597311390997383,Medium Risk,Gustilo
ph063022174,0.3596512334734776,0.0255290419001434,0.8965533896585178,0.8464137320797657,0.2041367080927208,0.3597050555735421,Medium Risk,Taal
ph063022135,0.2075122840788146,0.3067059518111701,0.438638797851374,0.6735045561609043,0.3796187408586977,0.3585995901714168,Medium Risk,Quintin Salas
ph063022120,0.8265032166556875,0.0347429835275956,0.5748425170677094,0.4763336219884608,0.2842013773096463,0.357518300733752,Low Risk,Oñate de Leon
ph063022140,0.4051973051010534,0.1648551403894183,0.8285805203386704,0.9594409905248344,0.042932661043334,0.3554111131168044,Low Risk,Roxas Village
ph063022057,0.4051973051010534,0.1690333220683678,0.8160823796253922,0.986594345800135,0.0375173606207291,0.3546466360248466,Low Risk,Flores
ph063022167,0.0,0.3099270599068753,0.6727011422720826,1.0,0.2016392967171103,0.3540076214962544,Low Risk,Santo Niño Norte
ph063022196,0.8265032166556875,0.0794930066518209,0.605588564297952,0.3921513551963017,0.2128060063608748,0.3525920249137713,Low Risk,Pale Benedicto Rizal (Mandurriao)
ph063022123,0.4051973051010534,0.1835582599114569,0.7720672957550936,0.9908750898248242,0.0446181714999842,0.3525835603900051,Low Risk,Osmeña
ph063022081,0.4051973051010534,0.1788992126410336,0.8285805203386704,0.959224696426549,0.0098877857078464,0.3516001377951156,Low Risk,Kauswagan
ph063022131,0.3061141786130346,0.2117417958505514,0.8376413066671199,0.8759581411322782,0.0401779575526521,0.3515330363802504,Low Risk,President Roxas
ph063022163,0.2075122840788146,0.1767229965237537,0.7382400537113418,0.5163204002828279,0.287569103517181,0.3512740522307215,Low Risk,San Vicente
ph063022035,0.4051973051010534,0.0712283762341485,0.805164003076806,0.9292459466551256,0.1400996597853269,0.3510969302513839,Low Risk,Cochero
ph063022169,0.4051973051010534,0.1693567226453319,0.6338005631253149,1.0,0.1525723907946055,0.3510503324099963,Low Risk,Santo Rosario-Duran
ph063022122,0.4051973051010534,0.1660775405376587,0.7756617669609863,1.0,0.0486965047281056,0.3508984993505124,Low Risk,Ortiz
ph063022152,0.8265032166556875,0.465404356222072,0.3311199548908902,0.0,0.1212616060472176,0.3506875555942157,Low Risk,Hibao-an Norte
ph063022113,0.4051973051010534,0.1567703033578234,0.7566304455145656,0.9555467663123508,0.0621031322892791,0.3466410175254345,Low Risk,Muelle Loney-Montes
ph063022187,0.9337102983638164,0.3906428847062901,0.2666073103065531,0.2410215134472233,0.1079410008130632,0.3463785628375572,Low Risk,Ungka
ph063022023,0.0,0.4197275852923413,0.5446711432821564,0.9487558484618872,0.1596507122563564,0.3458033022558022,Low Risk,Bonifacio (Arevalo)
ph063022106,0.2075122840788146,0.1908143049854434,0.6407346641299011,0.5546020415606299,0.3063582247733631,0.3451384118009699,Low Risk,Marcelo H. del Pilar
ph063022165,0.8265032166556875,0.0564933682565417,0.6435468104256044,0.4227828842512765,0.1586425078868316,0.3443847109118034,Low Risk,Santa Rosa
ph063022099,0.2075122840788146,0.0613457969846436,0.8354902665634457,0.6536494871910926,0.239810342215017,0.3401008463356955,Low Risk,Burgos-Mabini-Plaza
ph063022040,0.5171787143508338,0.1750338166931413,0.6332237286223286,0.4004299415425083,0.1862116539301222,0.3400462458261338,Low Risk,Cuartero
ph063022075,0.4051973051010534,0.1278417520481504,0.8422347442954847,0.9246871052014158,0.0,0.3397323425672352,Low Risk,Delgado-Jalandoni-Bagumbayan
ph063022104,0.4051973051010534,0.0195670189014352,0.8847882884247418,0.915943417444424,0.0655107427404994,0.337125391717531,Low Risk,Malipayon-Delgado
ph063022128,0.8265032166556875,0.0666799661547244,0.6248148734955496,0.3714997797403169,0.1328812767206929,0.335895838493156,Low Risk,PHHC Block 22 NHA
ph063022103,0.2075122840788146,0.1736635589419853,0.6453172267399861,0.7001234638077931,0.2360800519418905,0.3356160835298547,Low Risk,Magsaysay Village
ph063022166,0.0,0.3586696688493811,0.5932153881546846,0.8403651610598721,0.1585054969374352,0.3352247782642044,Low Risk,Santo Domingo
ph063022084,0.2075122840788146,0.0871080468090355,0.7028126100094944,0.518210419160545,0.3224383901385503,0.3351053040006605,Low Risk,Our Lady Of Fatima
ph063022054,0.4051973051010534,0.066275937056623,0.7766645998168132,0.9251450679555396,0.0819136611432765,0.3339892882634905,Low Risk,Edganzon
ph063022025,0.5171787143508338,0.0507159624885136,0.8040815579133894,0.509257324649937,0.1238593473146999,0.3337822572111544,Low Risk,Buhang Taft North
ph063022148,0.3061141786130346,0.0993154058383312,0.7786619611349598,0.892935333988575,0.1006410798820357,0.333142340656674,Low Risk,San Agustin
ph063022176,0.8265032166556875,0.0272446938293364,0.5475654617983979,0.7279321752517198,0.1262012729833984,0.3329069913016169,Low Risk,Tabucan
ph063022116,0.4051973051010534,0.0743253672682777,0.7738645313580399,0.9891821863964848,0.0531412214399841,0.3326265320183942,Low Risk,Nonoy
ph063022007,0.4051973051010534,0.1263759641768319,0.7247486792949553,0.9465271960462996,0.0475920461397673,0.3324266890130897,Low Risk,Arsenal Aduana
ph063022070,0.3061141786130346,0.1478401390998962,0.8118562077654907,0.848302497938073,0.0340170591139677,0.3322699783474279,Low Risk,Inday
ph063022189,0.3061141786130346,0.0902218584285731,0.7731127250881756,0.8953836131508263,0.1069536263055458,0.3318761690105193,Low Risk,Villa Anita
ph063022043,0.4051973051010534,0.0203931636379931,0.8245224275767833,0.9005644761662484,0.0849776825935926,0.3313751824443587,Low Risk,Mabolo-Delgado
ph063022061,0.4051973051010534,0.1637616308473977,0.5914169433771096,1.0,0.0896362013044356,0.3309865331901447,Low Risk,General Hughes-Montes
ph063022036,0.0,0.3381903689134363,0.5854329714681196,0.8995311797019745,0.1424680529236762,0.329712367903384,Low Risk,Compania
ph063022138,0.4051973051010534,0.0565810725130364,0.7155540711715165,1.0,0.0956859400313703,0.3293809384378204,Low Risk,Rizal Ibarra
ph063022199,0.2075122840788146,0.4143744324086789,0.3301905797088966,0.844392840665716,0.1595239515026754,0.3283915099235831,Low Risk,San Isidro (La Paz)
ph063022060,0.0,0.2487087747125188,0.463957612622911,0.914907019088433,0.3050198420756617,0.3268738950361393,Low Risk,South Fundidor
ph063022108,0.2075122840788146,0.3567914398794942,0.6210147769328741,0.392589946724076,0.1013591060919021,0.3262754272221061,Low Risk,Maria Cristina
ph063022080,0.0,0.2110985120999698,0.8409484456403923,0.8247732101568057,0.0673416778488624,0.3238581441743104,Low Risk,Katilingban
ph063022006,0.2075122840788146,0.2984907445876887,0.6804810148413344,0.3717305587188177,0.1066353943364233,0.3235475120986554,Low Risk,Arguelles
ph063022134,0.0,0.2797403767641758,0.5513976247507578,0.9073123819449248,0.1919294327472441,0.3231984035427888,Low Risk,Quezon
ph063022202,0.2075122840788146,0.075779922576217,0.8518214585506626,0.731943125553356,0.1025090438224207,0.3218917724916866,Low Risk,Rizal (La Paz)
ph063022133,0.2075122840788146,0.0384372006882872,0.9335397260995256,0.7867062262695564,0.0631703546011583,0.3215513854379877,Low Risk,Punong-Lapuz
ph063022088,0.2075122840788146,0.0357169974350229,0.9335397260995256,0.8182710269143714,0.0563870252302679,0.3212289189453975,Low Risk,Lapuz Sur
ph063022127,0.8265032166556875,0.0777985989770732,0.5712736352287775,0.3375704985469578,0.0845052461920225,0.3187167091522079,Low Risk,PHHC Block 17
ph063022097,0.2075122840788146,0.1804931399290864,0.8656665055710935,0.437697451928398,0.032766394906624,0.3162503595509179,Low Risk,Luna (Jaro)
ph063022164,0.0,0.3121447482387839,0.4398725364028875,0.8971188469304686,0.2100666415559243,0.3160682795965431,Low Risk,Santa Filomena
ph063022181,0.413789828276173,0.1539089140240907,0.6482839564310029,0.7739600075569921,0.0350495527865539,0.3160238928263776,Low Risk,Tap-oc
ph063022191,0.0,0.246352052170943,0.6472241973655725,0.9402990140051444,0.1031819569685252,0.3147945609636316,Low Risk,West Habog-habog
ph063022154,0.2075122840788146,0.2386207968454231,0.7287738121920913,0.5441092270869696,0.042721513112903,0.3146535993265194,Low Risk,San Jose (Jaro)
ph063022050,0.5171787143508338,0.1332340696928962,0.5474003888989933,0.3187224052003334,0.1833882863307609,0.3141627451306035,Low Risk,Dungon A
ph063022042,0.3061141786130346,0.0,0.8319965491364015,0.8766799601509556,0.0668150984492097,0.3137014827107778,Low Risk,Danao
ph063022079,0.0,0.1267347157285582,0.7725907459874808,0.8832445514418232,0.1323304751323556,0.3126530564730409,Low Risk,Kasingkasing
ph063022045,0.2075122840788146,0.1681438437735583,0.8509408709335369,0.4350050113275797,0.0370307447817527,0.3122899030691637,Low Risk,Desamparados
ph063022182,0.2075122840788146,0.2835525471551422,0.6711963704494244,0.4218310116810891,0.0584776441660359,0.3120406485673957,Low Risk,Taytay Zone II
ph063022119,0.413789828276173,0.0488344216728743,0.6907314607352414,0.7694723603391209,0.0853488495020169,0.3112115969839691,Low Risk,North San Jose
ph063022065,0.0,0.1003428704235245,0.7321213754726568,0.9099711685358356,0.1731076328909122,0.3107960442412225,Low Risk,Habog-habog Salvacion
ph063022149,0.0,0.0481754049434596,0.7594453668964978,0.8819222555665187,0.2074419325116192,0.3099255641344612,Low Risk,San Antonio
ph063022112,0.2075122840788146,0.0944831338318876,0.726562550773578,0.6080769071385067,0.1484207808697327,0.309832615064978,Low Risk,Montinola
ph063022101,0.2075122840788146,0.0529857428452563,0.8735676777614959,0.630843043040432,0.0725230846686392,0.309542673470717,Low Risk,Magdalo
ph063022016,0.2075122840788146,0.3948976089053166,0.3349322249834787,0.8092467435039208,0.08255022880374,0.3080553426162211,Low Risk,Banuyao
ph063022150,0.3061141786130346,0.0039073456101821,0.8483222480951162,0.8718663892512948,0.0217526633326054,0.3076786411083175,Low Risk,San Felix
ph063022170,0.2075122840788146,0.310526059482296,0.6152163875598113,0.4248572601160646,0.0444174873110127,0.3063776346501286,Low Risk,Simon Ledesma
ph063022193,0.4051973051010534,0.0396652049662887,0.7247486792949553,0.9086411769292332,0.0116984690530377,0.3060115207977819,Low Risk,Yulo-Arroyo
ph063022053,0.202092092599158,0.0286192649967278,0.8602152470365441,0.8618704156832004,0.010209030197287,0.3010326468720835,Low Risk,East Timawa
ph063022157,0.2075122840788146,0.0438469975893869,0.7520760173888832,0.656176807406357,0.1164521654070787,0.2995436797296354,Low Risk,San Nicolas
ph063022028,0.2075122840788146,0.111202797119049,0.8509408709335369,0.4352139060101493,0.0288371471143995,0.2992734189389197,Low Risk,Seminario (Burgos Jalandoni)
ph063022129,0.0,0.0702119441066289,0.8170185535797413,0.8405837630939275,0.0969119000467784,0.2987959188529839,Low Risk,Poblacion Molo
ph063022161,0.2075122840788146,0.291993734740305,0.6028247446908562,0.4021041640126449,0.0324882668282382,0.2972889243696612,Low Risk,San Roque
ph063022068,0.2075122840788146,0.4863578760178856,0.0,1.0,0.1371632715755889,0.2965678336703868,Low Risk,Hinactacan
ph063022085,0.2075122840788146,0.0272689276451475,0.8518214585506626,0.7254489817105717,0.001708198166631,0.2917046971821756,Low Risk,Laguda
ph063022015,0.2075122840788146,0.0629712405334746,0.7213174065181445,0.7102245272348655,0.0631311537038537,0.2907929203386226,Low Risk,Bantud
ph063022008,0.0,0.0402559605692907,0.8342320601925979,0.8218748096712698,0.0716838865022796,0.2894056977574121,Low Risk,North Avanceña
ph063022159,0.2075122840788146,0.1008471568117782,0.689161245562594,0.5239434480985468,0.0863541618520363,0.2888752271237713,Low Risk,San Pedro (Jaro)
ph063022155,0.0,0.3404780828812567,0.1800092353405593,0.8544999558338933,0.2441359248069315,0.2874383634610611,Low Risk,San Jose (Arevalo)
ph063022091,0.2075122840788146,0.1205318847720976,0.7359778239332054,0.3833540596901459,0.036650914017426,0.2828645404840847,Low Risk,"Libertad, Santa Isabel"
ph063022173,0.413789828276173,0.0628940743626622,0.4357234149160819,0.7837810251563418,0.1126537113324446,0.2819487262559993,Low Risk,South San Jose
ph063022076,0.2075122840788146,0.0916426093531623,0.7287738121920913,0.5275549135152309,0.0157618052686183,0.2790383045806233,Low Risk,Javellana
ph063022056,0.2075122840788146,0.1428072460272692,0.6804810148413344,0.3626737285847687,0.0414613857784434,0.2789231691682731,Low Risk,Fajardo
ph063022117,0.0,0.133193738235708,0.3433865251356457,0.8489101450646214,0.2219696569252477,0.265775343886414,Low Risk,North Fundidor
